ID,Title,Author_ID,Genre,PublishedAt,Page,Stock,Status_code,Price,createdAt,createdBy,modifiedAt,modifiedBy
22222222-2222-2222-2222-222222222001,Learning SAP,11111111-1111-1111-1111-111111111001,Technology,2025-01-01,320,50,A,499.00,2026-01-01,admin,2026-01-02,admin
22222222-2222-2222-2222-222222222002,ABAP Guide,11111111-1111-1111-1111-111111111002,Technology,2025-02-01,280,40,A,399.00,2026-01-02,admin,2026-01-03,admin
22222222-2222-2222-2222-222222222003,Fiori Basics,11111111-1111-1111-1111-111111111003,Technology,2025-03-01,300,30,L,450.00,2026-01-03,admin,2026-01-04,admin
22222222-2222-2222-2222-222222222004,Cloud Concepts,11111111-1111-1111-1111-111111111004,Technology,2025-04-01,350,20,L,550.00,2026-01-04,admin,2026-01-05,admin
22222222-2222-2222-2222-222222222005,Data Structures,11111111-1111-1111-1111-111111111005,Education,2025-05-01,400,60,A,600.00,2026-01-05,admin,2026-01-06,admin
22222222-2222-2222-2222-222222222006,AI Fundamentals,11111111-1111-1111-1111-111111111006,Technology,2025-06-01,420,25,U,700.00,2026-01-06,admin,2026-01-07,admin
22222222-2222-2222-2222-222222222007,Machine Learning,11111111-1111-1111-1111-111111111007,Technology,2025-07-01,380,15,U,750.00,2026-01-07,admin,2026-01-08,admin
22222222-2222-2222-2222-222222222008,Python Programming,11111111-1111-1111-1111-111111111008,Education,2025-08-01,500,45,A,650.00,2026-01-08,admin,2026-01-09,admin
22222222-2222-2222-2222-222222222009,Database Systems,11111111-1111-1111-1111-111111111009,Education,2025-09-01,360,35,L,550.00,2026-01-09,admin,2026-01-10,admin
22222222-2222-2222-2222-222222222010,Web Development,11111111-1111-1111-1111-111111111010,Technology,2025-10-01,410,20,A,600.00,2026-01-10,admin,2026-01-11,admin
