Book_ID,ID,Number,Title,Pages,createdAt,createdBy,modifiedAt,modifiedBy
6489015c-b30a-41e6-ba06-4dc671a90c09,20755153-9a42-41c0-b9a9-c9c9f5c29190,53,Title-20755153,75,2022-02-06T00:00:00.000Z,createdBy.ccus1@example.net,2007-11-03T00:00:00.000Z,modifiedBy.ccus1@example.org
6489015c-b30a-41e6-ba06-4dc671a90c09,20755154-0023-4a4b-80ca-0cfb2e5b1cc5,25,Title-20755154,40,2007-05-03T00:00:00.000Z,createdBy.ccus2@example.net,2016-05-09T00:00:00.000Z,modifiedBy.ccus2@example.net
6489016c-d4b8-433d-bdc4-8fb4f7b6b8a0,23472633-4cf0-413e-9f00-cbd7596194b9,72,Title-23472633,10,2016-02-09T00:00:00.000Z,createdBy.dz3ll@example.com,2021-07-31T00:00:00.000Z,modifiedBy.dz3ll@example.org
6489016c-d4b8-433d-bdc4-8fb4f7b6b8a0,23472634-69dc-4b30-853a-cbe2dfe731e4,68,Title-23472634,48,2014-01-18T00:00:00.000Z,createdBy.dz3lm@example.net,2016-03-20T00:00:00.000Z,modifiedBy.dz3lm@example.com
6489017d-1fff-469c-9a3a-54a5b38a1946,1842301d-f0f3-44ae-a7e6-d50025b641d4,91,Title-1842301,9,2001-11-22T00:00:00.000Z,createdBy.13hj1@example.org,2002-12-03T00:00:00.000Z,modifiedBy.13hj1@example.org
6489017d-1fff-469c-9a3a-54a5b38a1946,1842302a-2e30-4d2a-99dc-80f894c77b11,71,Title-1842302,43,2003-10-02T00:00:00.000Z,createdBy.13hj2@example.org,2017-01-06T00:00:00.000Z,modifiedBy.13hj2@example.net
6489018f-4bde-403b-8c0b-bb84aa5e93fd,12217514-6111-4959-95cd-ecbd988b4b6a,61,Title-12217514,70,2010-05-26T00:00:00.000Z,createdBy.79v3e@example.org,2008-09-29T00:00:00.000Z,modifiedBy.79v3e@example.org
6489018f-4bde-403b-8c0b-bb84aa5e93fd,12217515-318e-4b83-90a0-516887dce0b1,87,Title-12217515,30,2007-04-17T00:00:00.000Z,createdBy.79v3f@example.com,2017-08-10T00:00:00.000Z,modifiedBy.79v3f@example.org
64890197-0416-4986-a3a7-41bd718d42eb,25242140-d5d0-4e17-8a5f-289777f2c6fa,58,Title-2524214,14,2008-08-05T00:00:00.000Z,createdBy.1i3p2@example.com,2000-07-28T00:00:00.000Z,modifiedBy.1i3p2@example.net
64890197-0416-4986-a3a7-41bd718d42eb,25242153-0086-4fbf-b267-f2603655278b,85,Title-2524215,5,2001-05-31T00:00:00.000Z,createdBy.1i3p3@example.net,2017-06-30T00:00:00.000Z,modifiedBy.1i3p3@example.org
6489020b-856d-4762-8022-7c8e38b3c3a5,43544052-8be1-4166-8d3b-b9f70c884680,28,Title-4354405,41,2020-11-26T00:00:00.000Z,createdBy.2lbvp@example.net,2002-01-03T00:00:00.000Z,modifiedBy.2lbvp@example.com
6489020b-856d-4762-8022-7c8e38b3c3a5,43544069-70c9-4550-8da5-4c37ed5a8c57,20,Title-4354406,5,2013-02-28T00:00:00.000Z,createdBy.2lbvq@example.org,2011-11-12T00:00:00.000Z,modifiedBy.2lbvq@example.com
64890212-4de7-4ab0-b57c-c3b4c3084c03,52570810-beed-40e2-bf3f-e3e1d332f96a,2,Title-5257081,80,2004-05-10T00:00:00.000Z,createdBy.34oe1@example.com,2023-12-23T00:00:00.000Z,modifiedBy.34oe1@example.org
64890212-4de7-4ab0-b57c-c3b4c3084c03,5257082c-6025-4499-aa08-04d9c8105cff,61,Title-5257082,73,2010-07-07T00:00:00.000Z,createdBy.34oe2@example.org,2020-02-19T00:00:00.000Z,modifiedBy.34oe2@example.net
6489022a-9e80-4f45-8aa9-6d8118af82ea,27643212-a53c-4433-b15b-c27db21d9f78,75,Title-27643212,5,2002-06-21T00:00:00.000Z,createdBy.gghn0@example.net,2000-05-29T00:00:00.000Z,modifiedBy.gghn0@example.com
6489022a-9e80-4f45-8aa9-6d8118af82ea,27643213-7c86-4820-bfe3-9057867ec990,38,Title-27643213,30,2008-01-24T00:00:00.000Z,createdBy.gghn1@example.org,2016-08-06T00:00:00.000Z,modifiedBy.gghn1@example.org
64890239-d1ab-47e7-81ea-93875515f220,23295054-d966-4009-8df6-64156995f998,72,Title-23295054,37,2016-06-02T00:00:00.000Z,createdBy.dvaku@example.org,2021-08-12T00:00:00.000Z,modifiedBy.dvaku@example.com
64890239-d1ab-47e7-81ea-93875515f220,23295055-6058-44bf-9c36-fdf56b0d453a,26,Title-23295055,81,2006-01-17T00:00:00.000Z,createdBy.dvakv@example.org,2000-01-07T00:00:00.000Z,modifiedBy.dvakv@example.net
64890249-bc7e-4ede-a4f0-5160fa91717d,29199883-2c77-4213-aa28-f8b9c732915d,70,Title-2919988,57,2009-03-27T00:00:00.000Z,createdBy.1ql2s@example.com,2016-11-13T00:00:00.000Z,modifiedBy.1ql2s@example.org
64890249-bc7e-4ede-a4f0-5160fa91717d,29199893-b7e8-4b7f-b557-218c3728a23a,80,Title-2919989,28,2000-12-12T00:00:00.000Z,createdBy.1ql2t@example.net,2020-01-11T00:00:00.000Z,modifiedBy.1ql2t@example.com
